,Economic Impact,Life Assessment,Maintenance Stratgy,Total_Indicator,lat,long
S7R36JTR//D59-3,0.233,0.566,0.0,0.266,40.283,-3.204
S7RO508P//D56,0.015,0.026,0.0,0.014,40.293,-3.203
S7S2TH5D//D59-4,0.233,0.566,0.0,0.266,40.283,-3.203
S7T5I6LW//D59-5,0.233,0.566,0.0,0.266,40.282,-3.202
S7TF8XFQ//D55,0.05,0.063,0.75,0.288,40.294,-3.202
S7UGEPQA//D59-5-1,0.165,0.439,0.0,0.201,40.282,-3.202
S7UK5WW1//D59-6,0.233,0.591,0.0,0.275,40.281,-3.202
S7URMHAB//D35,0.124,0.334,0.0,0.153,40.321,-3.202
S7VJ3F5T//D59-7,0.233,0.591,0.0,0.275,40.281,-3.201
S7VJ3FC1//D59-5-2,0.165,0.439,0.0,0.201,40.283,-3.201
S7WF15FQ//D59-5-3,0.165,0.439,0.0,0.201,40.283,-3.201
S7WIQCFE//D59-8,0.233,0.566,0.0,0.266,40.28,-3.201
S7XG6WWF//D59-5-4-CT,0.099,0.312,0.0,0.137,40.283,-3.2
S7XMVW0M//D59-9,0.233,0.591,0.0,0.275,40.279,-3.2
S8005LC0//D54,0.026,0.15,0.0,0.059,40.295,-3.2
S806545G//D59-10,0.233,0.591,0.0,0.275,40.279,-3.2
S8065866//D36,0.118,0.221,0.0,0.113,40.321,-3.2
S814B5B6//D59-11,0.233,0.591,0.0,0.275,40.278,-3.199
S81H1N5Q//D59-12-1-CT,0.099,0.312,0.0,0.137,40.278,-3.199
S81W0I6H//D59-12,0.233,0.463,0.0,0.232,40.277,-3.199
S82CXD65//D59-13,0.233,0.566,0.0,0.266,40.277,-3.199
S83RL7FF//D53,0.031,0.159,0.0,0.063,40.297,-3.198
S841T57R//D37,0.114,0.315,0.0,0.143,40.32,-3.198
S84734ES//D59-14,0.233,0.591,0.0,0.275,40.276,-3.198
S84736GE//D52,0.036,0.067,0.0,0.034,40.298,-3.198
S84J2977//D53-1,0.233,0.463,0.0,0.232,40.297,-3.197
S84NIXJ3//D38,0.108,0.203,0.0,0.104,40.318,-3.197
S84NIXPC//D37-1,0.234,0.465,0.0,0.233,40.32,-3.197
S84S1M0G//D37-1-1,0.167,0.467,0.0,0.211,40.319,-3.197
S84WIA2F//D39,0.103,0.193,0.0,0.099,40.317,-3.197
S8530W8B//D40,0.098,0.286,0.0,0.128,40.315,-3.197
S853QBGQ//D53-2,0.233,0.566,0.0,0.267,40.296,-3.197
S856Q41I//D51,0.041,0.075,0.0,0.039,40.3,-3.197
S859PVF1//D42-2-CT,0.167,0.441,0.0,0.203,40.312,-3.197
S85AHD29//D37-1-3CT,0.167,0.441,0.0,0.203,40.318,-3.197
S85GGRDN//D59-15,0.233,0.566,0.0,0.266,40.276,-3.197
S85IP4H6//D59-16-1CT,0.165,0.336,0.0,0.167,40.275,-3.197
S85JGM0G//D50,0.046,0.085,0.0,0.044,40.301,-3.197
S85UOAUI//D42-1,0.234,0.568,0.0,0.267,40.312,-3.197
S860FGKE//D53-3,0.233,0.566,0.0,0.267,40.296,-3.197
S8646LTF//D59-16,0.233,0.591,0.0,0.275,40.275,-3.197
S865NLKC//D41,0.092,0.173,0.0,0.089,40.313,-3.197
S86A6896//D53-4,0.233,0.566,0.0,0.267,40.296,-3.197
S86FECA3//D49,0.052,0.095,0.0,0.049,40.303,-3.196
S86G5S8R//D42,0.088,0.266,0.0,0.118,40.313,-3.196
S86JV1D6//D43,0.082,0.257,0.0,0.113,40.311,-3.196
S86ODNJ7//D44,0.078,0.144,0.0,0.074,40.31,-3.196
S86S4VRT//D37-1-X-1,0.099,0.34,0.0,0.147,40.32,-3.196
S86UD7R5//D45,0.072,0.134,0.0,0.069,40.308,-3.196
S86WLITM//D46,0.067,0.124,0.0,0.064,40.307,-3.196
S872CQ0G//D47,0.062,0.115,0.0,0.059,40.306,-3.196
S873TJ4G//D59-17,0.233,0.591,0.0,0.275,40.275,-3.196
S8763X5V//D48,0.056,0.105,0.0,0.054,40.305,-3.196
S87L2SME//D44-1,0.234,0.439,0.0,0.224,40.309,-3.196
S885QRIM//D59-18,0.233,0.591,0.0,0.275,40.274,-3.195
S88D9C3N//D40-1,0.234,0.465,0.0,0.233,40.316,-3.195
S88WOSRW//D44-2-CT,0.167,0.441,0.0,0.203,40.309,-3.195
S89ANS5P//D59-19,0.233,0.591,0.0,0.275,40.273,-3.195
S89RV4VL//D37-2,0.234,0.594,0.0,0.276,40.321,-3.195
S8B6AK5T//D37-3,0.234,0.594,0.0,0.276,40.321,-3.194
S8B71UGX//D59-20,0.533,0.694,0.0,0.409,40.272,-3.194
S8BMQAWE//D40-2,0.234,0.439,0.0,0.224,40.317,-3.194
S8C3P1J7//D59-21,0.533,0.694,0.0,0.409,40.271,-3.193
S8D5METU//D37-4,0.234,0.594,0.0,0.276,40.321,-3.193
S8DICRSO//D59-22,0.533,0.565,0.0,0.366,40.27,-3.193
S8E32U09//D59-26-1-CT,0.399,0.415,0.0,0.271,40.269,-3.192
S8EPIACX//D40-3,0.234,0.465,0.0,0.233,40.319,-3.192
S8EUQ8WK//D59-26,0.533,0.668,0.0,0.4,40.269,-3.192
S8FV6L93//D59-27,0.533,0.694,0.0,0.409,40.268,-3.191
S8GBE6DU//D37-5,0.234,0.594,0.0,0.276,40.322,-3.191
S8GX3TNL//D59-28,0.533,0.694,0.0,0.409,40.268,-3.191
S8HV9UT5//D59-29,0.533,0.694,0.0,0.409,40.267,-3.19
S8I411LT//D37-6,0.234,0.568,0.0,0.267,40.322,-3.19
S8IUWS47//D59-30,0.533,0.694,0.0,0.409,40.266,-3.19
S8IVOEH2//D37-6-1,0.167,0.441,0.0,0.203,40.322,-3.19
S8J1FLEQ//D40-4,0.234,0.439,0.0,0.224,40.318,-3.19
S8JGEGPR//D37-6-2,0.167,0.441,0.0,0.203,40.321,-3.19
S8JQ58J9//D37-7,0.234,0.594,0.0,0.276,40.323,-3.189
S8JQUI4S//D59-31,0.533,0.668,0.0,0.4,40.266,-3.189
S8K73W3V//D59-31-1-CT,0.399,0.415,0.0,0.271,40.265,-3.189
S8KEKHV7//D37-6-3,0.167,0.441,0.0,0.203,40.32,-3.189
S8KLBHKI//D37-8,0.234,0.568,0.0,0.267,40.323,-3.189
S8L1IVBG//D37-6-4-CT,0.099,0.315,0.0,0.138,40.32,-3.189
S8LO01LP//D59-32,0.533,0.694,0.0,0.409,40.265,-3.188
S8LPH3OJ//D37-14,0.234,0.568,0.0,0.267,40.328,-3.188
S8LW82QD//D37-9,0.534,0.696,0.0,0.41,40.323,-3.188
S8MGW5D3//D37-13,0.234,0.594,0.0,0.276,40.327,-3.188
S8N1M6RQ//D40-5,0.534,0.568,0.0,0.367,40.318,-3.188
S8N5DET0//D37-12,0.534,0.671,0.0,0.402,40.326,-3.188
S8N64U42//D37-14-1CT,0.167,0.441,0.0,0.203,40.328,-3.188
S8N8D6UE//D37-10,0.534,0.696,0.0,0.41,40.324,-3.188
S8NECJMT//D59-33,0.533,0.565,0.0,0.366,40.265,-3.187
S8NFTLTD//D37-15,0.234,0.568,0.0,0.267,40.329,-3.187
S8OJ9Q29//D37-11,0.534,0.671,0.0,0.402,40.324,-3.187
S8PCWX9A//D59-34,0.533,0.694,0.0,0.409,40.265,-3.186
S8Q7DWB0//D40-6,0.534,0.568,0.0,0.367,40.318,-3.186
S8QN49G7//D37-16,0.234,0.594,0.0,0.276,40.329,-3.186
S8RSQJ24//D59-35,0.533,0.565,0.0,0.366,40.265,-3.185
S8SNWS2N//D59-36,0.533,0.694,0.0,0.409,40.265,-3.184
S8TKM4BV//D40-7,0.534,0.542,0.0,0.359,40.318,-3.184
S8TWL889//D37-17,0.234,0.568,0.0,0.267,40.329,-3.184
S8UU1M6K//D59-37,0.533,0.694,0.0,0.409,40.264,-3.183
S8W1O3VO//D59-38,0.533,0.694,0.0,0.409,40.264,-3.183
S8XKSIKL//D59-39,0.533,0.668,0.0,0.4,40.264,-3.182
S91H6L3M//D59-40,0.533,0.565,0.0,0.366,40.265,-3.181
S935AS15//D59-41,0.533,0.694,0.0,0.409,40.265,-3.18
S9362F3T//D37-18CT,0.234,0.568,0.0,0.267,40.328,-3.18
S943H17G//D37-19,0.234,0.439,0.0,0.224,40.327,-3.18
S94UER5Q//D59-42,0.533,0.694,0.0,0.409,40.265,-3.179
S95TCFBF//D37-20,0.234,0.439,0.0,0.224,40.327,-3.179
