h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.016,-0.014,-0.011,-0.010,-0.011,-0.011,-0.012,-0.012,-0.013,-0.013,-0.013,-0.011,-0.011,-0.012,-0.014,-0.015,-0.016,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.017,-0.014,-0.012,-0.011,-0.012,-0.012,-0.012,-0.012,-0.013,-0.013,-0.013,-0.012,-0.012,-0.013,-0.015,-0.015,-0.017,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.017,-0.014,-0.012,-0.011,-0.012,-0.012,-0.012,-0.012,-0.013,-0.013,-0.013,-0.012,-0.012,-0.013,-0.015,-0.015,-0.017,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.017,-0.014,-0.012,-0.011,-0.012,-0.012,-0.012,-0.012,-0.013,-0.013,-0.013,-0.012,-0.012,-0.013,-0.015,-0.015,-0.017,-0.017
-0.018,-0.018,-0.019,-0.019,-0.018,-0.017,-0.016,-0.013,-0.011,-0.010,-0.011,-0.011,-0.012,-0.012,-0.012,-0.013,-0.012,-0.011,-0.011,-0.012,-0.014,-0.014,-0.016,-0.016
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.017,-0.014,-0.012,-0.011,-0.012,-0.012,-0.012,-0.012,-0.013,-0.013,-0.013,-0.012,-0.012,-0.013,-0.015,-0.015,-0.017,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.018,-0.017,-0.014,-0.012,-0.011,-0.012,-0.012,-0.013,-0.013,-0.013,-0.013,-0.013,-0.012,-0.012,-0.013,-0.015,-0.016,-0.017,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.018,-0.017,-0.014,-0.012,-0.011,-0.012,-0.012,-0.013,-0.013,-0.013,-0.013,-0.013,-0.012,-0.012,-0.013,-0.015,-0.016,-0.017,-0.017
-0.018,-0.019,-0.019,-0.019,-0.018,-0.017,-0.016,-0.014,-0.011,-0.010,-0.011,-0.011,-0.012,-0.012,-0.013,-0.013,-0.013,-0.011,-0.011,-0.012,-0.014,-0.015,-0.016,-0.017
0.449,0.459,0.460,0.468,0.447,0.437,0.421,0.374,0.341,0.324,0.337,0.340,0.349,0.351,0.361,0.365,0.362,0.339,0.340,0.356,0.385,0.395,0.421,0.427
-0.419,-0.428,-0.429,-0.437,-0.418,-0.408,-0.393,-0.349,-0.318,-0.302,-0.314,-0.317,-0.326,-0.327,-0.336,-0.340,-0.338,-0.316,-0.317,-0.332,-0.359,-0.369,-0.393,-0.399
